InvoiceNo,InvoicingDate,InvoicePeriodFrom,InvoicePeriodTo,Organization,Description,SKU,Qty,ListPrice,UnitPrice,LineTotal,Currency
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Granite Ridge,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,1,12.72,10.4304,10.43,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Granite Ridge,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,-1,12.72,8.74807741935484,-8.75,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Granite Ridge,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,1,14.4,9.90348387096774,9.9,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Granite Ridge,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,10,26.4,21.648,216.48,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Granite Ridge,Microsoft 365 Business Standard (NCE) - Monthly,SW-P-O365-16-M1M,16,15,12.3,196.8,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Granite Ridge,Microsoft 365 Business Standard (NCE) - Monthly,SW-P-O365-16-M1M,-16,15,9.91935483870968,-158.71,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Granite Ridge,Microsoft 365 Business Standard (NCE) - Monthly,SW-P-O365-16-M1M,16,16.8,11.1096774193548,177.75,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Granite Ridge,Microsoft 365 E3 (NCE) - Monthly,SW-P-O365-17-M1M,1,43.2,35.424,35.42,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Granite Ridge,Microsoft 365 E3 (NCE) - Monthly,SW-P-O365-17-M1M,-1,43.2,27.4250322580645,-27.43,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Granite Ridge,Microsoft 365 E3 (NCE) - Monthly,SW-P-O365-17-M1M,1,46.8,29.7104516129032,29.71,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Granite Ridge,Microsoft Entra ID P1 (NCE) - Monthly,SW-P-O365-1-M1M,1,8.4,6.888,6.89,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Granite Ridge,Microsoft Entra ID P1 (NCE) - Monthly,SW-P-O365-1-M1M,-1,8.4,0.22219354838709,-0.22,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Halcyon Labs,Azure Plan,SWAZPL01,1,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Halcyon Labs,Azure Plan Usage (Billed) - Azure Plan Usage (Billed),SWAZPLU02,20.72119,1,0.95,19.69,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Halcyon Labs,Azure Plan - Provision this product to access the Microsoft Azure platform. Contact your account representative for pricing and details.,SWAZPL01,,,,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Halcyon Labs,Microsoft Teams Essentials (NCE) - Monthly,SW-P-O365-85-M1M,2,4.8,3.936,7.87,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Azure Information Protection Premium P1 (NCE) - Monthly - Disc.,SW-P-O365-3-M1M,4,2.4,1.968,7.87,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Azure Plan,SWAZPL01,1,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Azure Plan Usage (Billed) - Azure Plan Usage (Billed),SWAZPLU02,892.22144,1,0.95,847.61,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Azure Plan - Provision this product to access the Microsoft Azure platform. Contact your account representative for pricing and details.,SWAZPL01,,,,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Dynamics 365 Business Central Essentials (NCE) - Monthly,SW-P-D365-11-M1M,8,96,81.6,652.8,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Dynamics 365 Business Central Team Members (NCE) - Monthly,SW-P-D365-14-M1M,1,9.6,8.16,8.16,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,3,12.72,10.4304,31.29,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,-3,12.72,8.74807741935484,-26.24,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,3,14.4,9.90348387096774,29.71,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Exchange Online (Plan 2) (NCE) - Monthly,SW-P-O365-8-M1M,1,9.6,7.872,7.87,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft 365 Apps for business (NCE) - Monthly,SW-P-O365-12-M1M,23,9.96,8.1672,187.85,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft 365 Apps for business (NCE) - Monthly,SW-P-O365-12-M1M,-23,9.96,6.32299354838709,-145.43,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft 365 Apps for business (NCE) - Monthly,SW-P-O365-12-M1M,22,12,7.61806451612903,167.6,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft 365 Business Basic (NCE) - Monthly,SW-P-O365-14-M1M,23,7.2,5.904,135.79,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft 365 Business Basic (NCE) - Monthly,SW-P-O365-14-M1M,-23,7.2,4.95174193548387,-113.89,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft 365 Business Basic (NCE) - Monthly,SW-P-O365-14-M1M,18,8.4,5.77703225806452,103.99,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,56,26.4,21.648,1212.29,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,-6,26.4,10.4748387096774,-62.85,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,1,26.4,4.88825806451613,4.89,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,1,26.4,2.79329032258065,2.79,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,1,26.4,0.69832258064516,0.7,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft 365 Business Standard (NCE) - Monthly,SW-P-O365-16-M1M,7,15,12.3,86.1,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft 365 Business Standard (NCE) - Monthly,SW-P-O365-16-M1M,-7,15,9.52258064516129,-66.66,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft 365 Business Standard (NCE) - Monthly,SW-P-O365-16-M1M,5,16.8,10.6652903225807,53.33,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft 365 E5 (NCE) - Monthly,SW-P-O365-19-M1M,1,72,28.5677419354839,28.57,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft Intune Plan 1 Device (NCE) - Monthly,SW-P-O365-28-M1M,1,3.24,2.6568,2.66,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft Teams Audio Conferencing includes dial-out to USA/CAN only (NCE) - Monthly,SW-P-O365-91-A-M1M,12,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft Teams Audio Conferencing includes dial-out to USA/CAN only (NCE) - Monthly,SW-P-O365-91-A-M1M,-1,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft Teams Domestic Calling Plan (customers in US/UK/CA) (NCE) - Monthly,SW-P-O365-108-A-M1M,1,9.6,7.872,7.87,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft Teams Phone Resource Account (NCE) - Monthly,SW-P-O365-26-A-M1M,11,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Microsoft Teams Shared Devices (NCE) - Monthly,SW-P-O365-4-M1M,1,9.6,7.872,7.87,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Office 365 E3 (NCE) - Monthly,SW-P-O365-31-M1M,1,27.6,22.632,22.63,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Office 365 E3 (NCE) - Monthly,SW-P-O365-31-M1M,-1,27.6,17.5215483870968,-17.52,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Office 365 E3 (NCE) - Monthly,SW-P-O365-31-M1M,1,31.2,19.8069677419355,19.81,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Planner and Project Plan 3 (NCE) - Monthly,SW-P-O365-39-M1M,1,36,29.52,29.52,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Power Automate Premium (NCE) - Monthly,SW-P-D365-88-M1M,1,18,15.3,15.3,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Power BI Premium Per User (NCE) - Monthly,SW-P-D365-94-M1M,3,28.8,24.48,73.44,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Teams Phone with Calling Plan (country zone 1 - US) (NCE) - Monthly,SW-P-O365-35-A-M1M,12,20.4,20.4,244.8,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Teams Phone with Calling Plan (country zone 1 - US) (NCE) - Monthly,SW-P-O365-35-A-M1M,-1,20.4,15.7935483870968,-15.79,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Kestrel Leather Inc,Visio Plan 2 (NCE) - Monthly,SW-P-O365-45-M1M,1,18,14.76,14.76,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Northwind Ent. JHLA,Azure Plan,SWAZPL01,1,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Northwind Ent. JHLA,Azure Plan Usage (Billed) - Azure Plan Usage (Billed),SWAZPLU02,307.9493,1,0.95,292.55,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Northwind Ent. JHLA,Azure Plan - Provision this product to access the Microsoft Azure platform. Contact your account representative for pricing and details.,SWAZPL01,,,,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Meridian Live,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,1,14.4,11.808,11.81,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Meridian Live,Microsoft 365 Apps for business (NCE) - Monthly,SW-P-O365-12-M1M,1,12,9.84,9.84,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Meridian Live,Microsoft 365 Business Basic (NCE) - Monthly,SW-P-O365-14-M1M,24,8.4,6.888,165.31,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Meridian Live,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,249,26.4,21.648,5390.35,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Meridian Live,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,1,26.4,18.1563870967742,18.16,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Ironwood Capital,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,1,14.4,11.808,11.81,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Ironwood Capital,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,13,26.4,21.648,281.42,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Ironwood Capital,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,-2,26.4,11.1731612903226,-22.35,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Ironwood Capital,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,5,26.4,2.09496774193548,10.47,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Juniper Foods,Azure Plan,SWAZPL01,1,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Juniper Foods,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,5,14.4,11.808,59.04,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Juniper Foods,Office 365 E5 (NCE) - Monthly,SW-P-O365-32-M1M,4,49.2,40.344,161.38,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Harbor 360,Azure Plan,SWAZPL01,1,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Harbor 360,Azure Plan Usage (Billed) - Azure Plan Usage (Billed),SWAZPLU02,12.95108,1,0.95,12.3,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Harbor 360,Azure Plan - Provision this product to access the Microsoft Azure platform. Contact your account representative for pricing and details.,SWAZPL01,,,,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Harbor 360,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,1,14.4,11.808,11.81,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Harbor 360,Exchange Online (Plan 2) (NCE) - Monthly,SW-P-O365-8-M1M,5,9.6,7.872,39.36,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Harbor 360,Microsoft 365 Audio Conferencing (NCE) - Monthly,SW-P-O365-9-A-M1M,1,3,3,3,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Harbor 360,Microsoft 365 Business Basic (NCE) - Monthly,SW-P-O365-14-M1M,8,7.2,5.904,47.23,USD
